security_type,signal_strength,wps_enabled,hidden_ssid,known_vendor_risk,high_risk
OPEN,76,1,0,0,1
WPA3,21,1,0,0,0
WPA,93,1,1,1,1
WPA2,56,0,1,0,0
WPA,44,0,1,1,1
WPA2,47,1,1,0,0
WPA,33,0,1,1,1
OPEN,83,1,0,1,1
OPEN,75,1,0,0,1
WPA3,50,1,1,1,0
WPA2,30,0,0,0,0
OPEN,58,0,1,1,1
WPA3,74,0,1,0,0
WEP,87,0,0,0,1
WPA2,30,0,0,1,0
WPA,41,0,1,1,1
WPA3,49,0,1,1,0
WPA2,22,0,1,1,0
WPA,79,1,0,1,1
WEP,34,1,1,0,1
WPA3,30,1,0,1,0
WPA2,77,1,0,1,0
WEP,77,1,0,1,1
WPA,17,0,0,0,1
WPA,68,1,0,1,1
WPA,21,1,1,1,1
WPA,59,0,1,1,1
WEP,63,0,0,0,1
WPA3,32,0,0,1,0
WPA3,17,0,1,0,0
WPA3,37,1,0,0,0
WPA2,25,1,1,1,0
WPA3,68,0,0,0,0
WPA3,40,0,0,0,0
OPEN,22,1,1,1,1
WPA,72,0,1,1,1
WPA3,27,0,1,0,0
WPA,28,0,0,0,1
WPA2,65,1,0,1,0
OPEN,42,0,0,1,1
WEP,87,0,1,0,1
WEP,76,1,0,1,1
WEP,72,1,0,1,1
WEP,21,0,0,1,1
OPEN,51,1,0,1,1
WEP,79,1,1,0,1
WPA,83,0,1,0,1
WPA2,68,0,0,1,0
OPEN,61,0,1,1,1
OPEN,75,0,1,0,1
OPEN,54,0,0,1,1
OPEN,69,0,0,1,1
WPA2,28,0,1,1,0
WPA,50,0,1,1,1
WEP,16,0,1,0,1
WPA,52,1,0,0,1
WEP,53,1,0,0,1
WPA3,27,1,1,0,0
WPA3,36,1,0,1,0
WPA,82,0,0,0,1
WEP,81,0,1,1,1
OPEN,39,1,0,0,1
WPA2,68,0,0,0,0
WPA2,73,1,1,1,0
WEP,23,1,1,1,1
WEP,33,0,0,1,1
WPA,44,0,1,0,1
WPA3,92,0,0,1,0
WPA2,38,1,1,1,0
WEP,94,1,0,0,1
WPA,18,0,0,1,1
WPA3,27,1,0,1,0
WPA3,86,0,1,0,0
WPA,52,0,0,1,1
WEP,67,0,0,1,1
OPEN,73,1,0,0,1
OPEN,89,1,0,0,1
OPEN,20,1,1,0,1
WPA2,29,0,1,1,0
WPA3,18,0,0,0,0
WPA3,77,0,1,0,0
WPA,49,0,1,0,1
OPEN,33,0,0,0,1
WPA2,92,0,0,1,0
WPA3,70,1,1,0,0
OPEN,84,1,0,1,1
OPEN,74,1,0,0,1
OPEN,60,1,0,0,1
WPA3,39,0,0,1,0
WPA2,40,1,1,0,0
WPA3,88,0,0,1,0
WPA,26,1,1,0,1
WPA2,26,1,0,0,0
WPA3,28,1,0,1,0
WPA2,79,0,0,1,0
WPA2,82,0,1,0,0
WEP,81,0,1,0,1
WEP,41,1,1,1,1
WPA3,84,1,1,0,0
WPA,24,0,1,0,1
OPEN,67,1,1,0,1
WPA,57,0,0,0,1
WPA3,74,1,1,1,0
OPEN,85,0,0,1,1
WEP,26,0,1,0,1
WEP,88,0,1,1,1
WPA,28,0,0,1,1
OPEN,51,0,1,0,1
WPA2,19,0,0,1,0
OPEN,49,1,1,1,1
WPA3,46,1,0,1,0
WPA,73,1,1,1,1
WPA,18,0,0,1,1
WEP,33,0,1,1,1
WPA3,48,0,0,0,0
WEP,89,1,1,0,1
OPEN,81,0,0,0,1
WPA3,70,0,1,1,0
WPA3,87,0,1,0,0
WPA3,61,1,1,1,0
WPA2,77,1,0,1,0
WPA,40,1,1,1,1
WPA3,52,1,0,1,0
WPA2,34,0,0,0,0
WPA,53,0,0,1,1
WEP,42,0,1,0,1
WPA2,41,0,0,0,0
WPA2,33,0,1,1,0
WPA2,88,1,0,1,0
WEP,51,1,1,1,1
WPA,67,0,1,1,1
WPA,76,1,0,0,1
OPEN,73,0,0,1,1
WPA2,55,1,1,0,0
WPA3,64,1,0,1,0
WPA2,61,0,1,1,0
WPA2,25,1,1,0,0
WPA3,47,1,0,1,0
WPA3,78,1,1,0,0
WEP,72,1,0,0,1
WPA,64,0,0,0,1
WPA,15,1,0,0,1
WPA2,56,1,1,1,0
WPA2,56,0,0,1,0
OPEN,89,1,0,1,1
OPEN,72,0,0,1,1
WPA2,48,1,1,0,0
WPA2,73,0,1,1,0
WPA3,76,1,0,1,0
WEP,57,0,0,0,1
WPA3,26,0,1,1,0
WPA,73,0,0,1,1
OPEN,59,1,1,0,1
WPA2,64,0,0,0,0
WPA2,93,0,1,1,0
WPA3,48,0,0,1,0
WPA3,65,0,0,0,0
WPA,17,1,1,0,1
OPEN,51,1,1,0,1
WEP,92,0,0,0,1
